id,metadata
474,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""On Top of the World"", ""lastfm_artist"": ""Imagine Dragons""}"
476,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Eyes Closed"", ""lastfm_artist"": ""Imagine Dragons""}"
485,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Birds"", ""lastfm_artist"": ""Imagine Dragons""}"
477,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Bad Liar"", ""lastfm_artist"": ""Imagine Dragons""}"
486,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Friction"", ""lastfm_artist"": ""Imagine Dragons""}"
478,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Monster"", ""lastfm_artist"": ""Imagine Dragons""}"
487,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Warriors"", ""lastfm_artist"": ""Imagine Dragons""}"
479,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Rise Up"", ""lastfm_artist"": ""Imagine Dragons""}"
488,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Birds (feat. Elisa)"", ""lastfm_artist"": ""Imagine Dragons""}"
480,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Sharks"", ""lastfm_artist"": ""Imagine Dragons""}"
489,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Battle Cry"", ""lastfm_artist"": ""Imagine Dragons""}"
484,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Wake Up"", ""lastfm_artist"": ""Imagine Dragons""}"
481,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Lonely"", ""lastfm_artist"": ""Imagine Dragons""}"
483,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Thunder"", ""lastfm_artist"": ""Imagine Dragons""}"
482,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Giants"", ""lastfm_artist"": ""Imagine Dragons""}"
490,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Enemy (from the series Arcane League of Legends)"", ""lastfm_artist"": ""Imagine Dragons""}"
245,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""A Bar Song (Tipsy)"", ""lastfm_artist"": ""Shaboozey""}"
246,"{""lastfm_kind"": ""track"", ""lastfm_title"": ""Booseh Bar Labhaye Khoonin"", ""lastfm_artist"": ""Artoush""}"
