id,artists_id,uploaded_by
6,7,874158820580
185,169,"509760591885,509760591885"
471,365,"394117657821,821068817689,394117657821"
1166,730,"929819142165,929819142165"
1399,845,410618275779
1400,"846,847,848",574593264528
1401,849,296272052435
1403,211,"509760591885,245032061699"
1404,241,296272052435
1406,850,"929819142165,929819142165"
1412,213,296272052435
1416,853,929819142165
1417,854,929819142165
1418,17,874158820580
1422,855,"754817958681,996405937084,996405937084,996405937084,202863342858,653911562158"
7793,"3003,3004",175682234295
2776,1459,130713082052
5213,"2242,2243",438071472030
3070,"261,1575",410040702296
97,95,"475272494144,509760591885,245032061699"
1212,747,574593264528
1407,"150,151,851",140289111734
1426,43,509760591885
1427,595,657730610795
1428,856,242725736100
1430,227,817321833631
1436,858,817321833631
1437,224,817321833631
1441,358,509760591885
1442,859,817321833631
1445,861,"979910711272,868239522489,497382152459"
1447,801,579377061875
1448,"863,117",906787991853
1450,865,874158820580
1451,181,579377061875
1452,75,410618275779
2777,968,315631053874
7763,452,863699380035
1456,"868,117",867935070956
8338,"126,571",438071472030
8574,225,413739000844
10730,491,949538583064
2554,244,"230986011321,563388874988,263940288201"
532,189,"509760591885,509760591885,462628741767"
624,445,"509760591885,509760591885,605301471334,653911562158"
1440,301,509760591885
1454,181,804121600141
1459,628,750156468469
1464,211,605301471334
1465,211,605301471334
1467,508,242725736100
1468,872,703052179864
1469,873,296272052435
1471,760,"769929183709,616554609597"
1472,80,"321316551291,874158820580"
1474,874,114447454905
1475,875,270247321047
1476,876,979910711272
1477,877,929819142165
1478,590,"230986011321,123317730197"
1479,878,114447454905
7795,10,563388874988
1488,882,"271712851903,896894389979"
2201,1210,"874158820580,874158820580,812649641749"
3024,1554,162342107260
3035,710,137654565281
8402,28,756372794491
5214,2244,438071472030
10731,145,"849733476327,365660435784"
1438,224,"817321833631,817321833631,567839591024"
1482,880,"804121600141,348461817543"
1486,873,296272052435
1490,884,979910711272
1491,698,979910711272
1494,196,"817321833631,128989895054"
1498,"323,641",874158820580
1502,887,"242725736100,413739000844"
1503,888,818493235519
1504,889,804121600141
1506,170,579377061875
1507,890,817321833631
7890,31,756372794491
8367,1717,567839591024
8348,3168,699692779863
1538,196,"102374066294,394117657821"
8448,902,996405937084
8453,3201,381205542744
8502,"126,67,3217",438071472030
11170,2977,812649641749
1515,181,102374066294
1518,"181,195",102374066294
1520,4424,230986011321
7765,2995,218093200747
8524,87,"616554609597,616554609597,616554609597"
5216,642,409371505827
1509,146,509760591885
1513,261,140289111734
1516,"898,899",102374066294
1522,508,804121600141
1525,902,"509760591885,812649641749"
1530,223,817321833631
1535,903,874158820580
1537,906,102374066294
7797,497,363508735347
7767,"126,1510",316195095367
1561,921,804121600141
1557,920,383616851268
1563,,"867935070956,867935070956"
2780,748,959078742794
3297,"1653,1654",516726561240
3302,481,"817321833631,812649641749"
1559,276,394117657821
2624,"560,1408,560",867935070956
1560,622,140289111734
7766,2995,849733476327
1540,54,"383616851268,438071472030"
1264,48,270247321047
1542,"908,909",383616851268
1543,910,114447454905
1544,"911,912","929819142165,929819142165"
1545,"913,550","929819142165,929819142165"
1549,542,509760591885
