id,file_id,unique_file_id,artists_id,uploaded_by,chat_id,message_id,likes_count,dislikes_count,reactions_count
4594,5765148804877652494,-5524730078912469446,264,858030157299,-1004482228130,8475,11,0,11
4583,6010447211924561952,-4515825890301712520,1650,"958249908971,406194970961",-1004482228130,8463,3,0,3
4582,6028454296104736422,-8919116214075727031,"126,2044",438071472030,-1004482228130,8461,1,0,1
4578,5943041449720286907,4005159811428466432,2043,764118488854,-1004482228130,8457,10,0,10
4585,5816428219015890803,-5401405166984865943,17,448540462163,-1004482228130,8465,5,0,5
4595,5958575259803190757,4225254479134635324,264,858030157299,-1004482228130,8476,13,0,13
4590,5978989312375526036,8020446141742708352,525,144838920781,-1004482228130,8471,11,0,11
4597,5981256148869718297,-3502023097481180193,186,740901501816,-1004482228130,8478,4,0,4
4598,5981129997090297121,-3826531692887719918,1860,438071472030,-1004482228130,8479,9,0,9
7855,5865984745678050842,5624225607120122107,3030,165501917790,-1004482228130,13110,8,0,28
10060,6032868221109933839,-4957329872594215124,200,355242680870,-1004482228130,16478,6,0,6
10079,6048769104867762449,1526141393193718179,"2191,605",817434891767,-1004482228130,16515,3,0,3
10174,5947131864903845303,7604662780920401066,455,868239522489,-1004482228130,16655,11,0,11
4603,5981256148869718301,6135961667173164055,264,165501917790,-1004482228130,8484,5,0,5
4622,6048488351445553705,7527996160427919619,2056,239675946514,-1004482228130,8505,4,0,4
10194,6010447211924569347,-360871843669153172,"539,540","362057624131,640284426813",-1004482228130,16686,6,0,6
4606,5981256148869718305,-217035472276281459,264,165501917790,-1004482228130,8488,5,0,5
4608,6005641938089282696,-5913522535804840471,2049,653559399185,-1004482228130,8490,14,0,14
4617,5981160366804047591,5886041906026391834,507,971657212338,-1004482228130,8500,5,0,5
4611,5983237447348130722,3674596768680595232,"2052,2053",117886705769,-1004482228130,8493,6,0,6
10201,5839165934794707690,256879405459718176,234,407445230620,-1004482228130,16696,14,0,14
4620,5023992278864102125,-2345487467351190973,147,"800705054080,325576598738",-1004482228130,8503,22,1,23
4609,5981297479340004621,-4058835420661667090,"2050,972,2051",206778660188,-1004482228130,8491,13,0,13
4616,6010447211924560386,-5051013443137123680,263,760029738066,-1004482228130,8499,8,0,8
4599,5981256148869718298,4784331180268235048,264,218093200747,-1004482228130,8480,4,0,4
