id,track_id,user_id,sentiment,on_user_id,message_id,reaction_id
253,217,801346475500,like,515788758231.0,293,2
254,217,394117657821,like,515788758231.0,293,2
255,217,509760591885,like,515788758231.0,293,2
256,217,801392618851,like,515788758231.0,293,2
257,217,542654609056,like,515788758231.0,293,2
258,217,821068817689,like,515788758231.0,293,2
259,217,703052179864,like,515788758231.0,293,2
260,218,475272494144,like,821068817689.0,294,2
261,218,253595547136,like,821068817689.0,294,2
262,218,703052179864,like,821068817689.0,294,56
263,218,801392618851,like,821068817689.0,294,2
264,218,216743486564,like,821068817689.0,294,2
265,219,703052179864,dislike,874158820580.0,295,79
266,220,515788758231,like,102374066294.0,296,2
267,220,253595547136,like,102374066294.0,296,2
268,220,509760591885,like,102374066294.0,296,2
269,220,874158820580,like,102374066294.0,296,2
270,221,703052179864,like,753128310892.0,297,10
271,221,874158820580,like,753128310892.0,297,2
272,222,515788758231,like,394117657821.0,298,17
273,222,703052179864,like,394117657821.0,298,2
274,222,867935070956,like,394117657821.0,298,17
275,222,801392618851,like,394117657821.0,298,17
276,222,874158820580,like,394117657821.0,298,2
277,223,515788758231,like,867935070956.0,299,56
278,223,394117657821,like,867935070956.0,299,56
279,223,703052179864,like,867935070956.0,299,2
280,224,852351726930,like,391031877698.0,300,2
281,224,867935070956,like,391031877698.0,300,17
282,224,253595547136,like,391031877698.0,300,2
283,224,509760591885,like,391031877698.0,300,2
284,224,874158820580,like,391031877698.0,300,2
285,224,929819142165,like,391031877698.0,300,2
286,169,515788758231,like,509760591885.0,301,2
287,169,874158820580,like,509760591885.0,301,2
288,169,260075900073,like,509760591885.0,301,2
289,226,515788758231,like,509760591885.0,303,56
290,227,703052179864,like,515788758231.0,305,2
291,227,509760591885,like,515788758231.0,305,56
292,170,515788758231,like,509760591885.0,306,56
293,228,801346475500,like,394117657821.0,307,56
294,229,874158820580,like,911593860202.0,308,17
295,229,509760591885,like,911593860202.0,308,17
296,230,475272494144,like,801392618851.0,309,17
297,230,703052179864,like,801392618851.0,309,2
298,230,867935070956,like,801392618851.0,309,17
299,230,801346475500,like,801392618851.0,309,56
300,231,703052179864,like,874158820580.0,310,2
301,231,985288390348,like,874158820580.0,310,57
302,231,515788758231,like,874158820580.0,310,17
303,232,801346475500,like,394117657821.0,311,56
304,232,867935070956,like,394117657821.0,311,56
